事件ID,会员ID,事件类型,事件时间,事件日期,门店ID,渠道,结果
REG00000001,M0000001,注册,2024-03-23 01:12:22,2024-03-23,S00067,App,成功
REG00000002,M0000002,注册,2025-10-15 01:25:25,2025-10-15,S00003,门店扫码,成功
REG00000003,M0000003,注册,2025-07-07 17:16:15,2025-07-07,S00894,门店扫码,成功
REG00000004,M0000004,注册,2024-05-12 05:36:31,2024-05-12,S00434,门店扫码,成功
REG00000005,M0000005,注册,2025-03-12 10:26:04,2025-03-12,S00226,App,成功
REG00000006,M0000006,注册,2024-06-01 17:43:29,2024-06-01,S00427,门店扫码,成功
REG00000007,M0000007,注册,2024-11-16 11:30:52,2024-11-16,S00314,小程序,成功
REG00000008,M0000008,注册,2026-01-28 16:48:46,2026-01-28,S00172,小程序,成功
REG00000009,M0000009,注册,2024-10-25 06:08:57,2024-10-25,S00008,小程序,成功
REG00000010,M0000010,注册,2026-05-09 13:24:28,2026-05-09,S00856,App,成功
REG00000011,M0000011,注册,2024-06-25 09:50:21,2024-06-25,S00249,App,成功
REG00000012,M0000012,注册,2025-08-05 17:03:03,2025-08-05,S00842,App,成功
REG00000013,M0000013,注册,2025-01-05 04:14:23,2025-01-05,S00934,小程序,成功
REG00000014,M0000014,注册,2026-05-01 17:00:02,2026-05-01,S01084,门店扫码,成功
REG00000015,M0000015,注册,2024-07-27 06:08:15,2024-07-27,S00080,小程序,成功
REG00000016,M0000016,注册,2026-05-20 12:27:28,2026-05-20,S00446,小程序,成功
REG00000017,M0000017,注册,2024-09-04 13:51:52,2024-09-04,S00003,小程序,成功
REG00000018,M0000018,注册,2024-05-15 08:37:34,2024-05-15,S00772,App,成功
REG00000019,M0000019,注册,2026-04-14 00:03:37,2026-04-14,S00466,小程序,成功
REG00000020,M0000020,注册,2025-12-25 23:26:57,2025-12-25,S01097,活动拉新,成功
REG00000021,M0000021,注册,2024-09-30 17:03:52,2024-09-30,S00918,App,成功
REG00000022,M0000022,注册,2024-10-12 11:08:02,2024-10-12,S00550,小程序,成功
REG00000023,M0000023,注册,2024-12-14 05:26:47,2024-12-14,S00581,App,成功
REG00000024,M0000024,注册,2025-09-14 11:38:41,2025-09-14,S00566,门店扫码,成功
REG00000025,M0000025,注册,2024-07-31 11:00:56,2024-07-31,S00540,App,成功
REG00000026,M0000026,注册,2024-07-04 11:15:14,2024-07-04,S00280,小程序,成功
REG00000027,M0000027,注册,2026-01-27 19:14:22,2026-01-27,S00277,App,成功
REG00000028,M0000028,注册,2026-01-08 06:23:30,2026-01-08,S00615,小程序,成功
REG00000029,M0000029,注册,2024-08-03 01:38:35,2024-08-03,S00261,门店扫码,成功
REG00000030,M0000030,注册,2026-05-13 01:44:42,2026-05-13,S00503,App,成功
REG00000031,M0000031,注册,2026-04-22 11:25:56,2026-04-22,S00142,门店扫码,成功
REG00000032,M0000032,注册,2025-05-16 18:25:08,2025-05-16,S00760,App,成功
REG00000033,M0000033,注册,2025-09-09 06:26:11,2025-09-09,S00840,小程序,成功
REG00000034,M0000034,注册,2024-09-05 22:59:25,2024-09-05,S00048,活动拉新,成功
REG00000035,M0000035,注册,2024-06-18 08:45:50,2024-06-18,S00564,小程序,成功
REG00000036,M0000036,注册,2026-04-15 16:27:34,2026-04-15,S00797,App,成功
REG00000037,M0000037,注册,2026-02-27 17:24:02,2026-02-27,S00666,小程序,成功
REG00000038,M0000038,注册,2025-01-22 15:11:46,2025-01-22,S00322,小程序,成功
REG00000039,M0000039,注册,2024-06-13 10:22:52,2024-06-13,S01058,活动拉新,成功
REG00000040,M0000040,注册,2024-03-17 18:26:43,2024-03-17,S00682,门店扫码,成功
REG00000041,M0000041,注册,2024-12-24 06:30:41,2024-12-24,S00945,App,成功
REG00000042,M0000042,注册,2026-03-02 13:08:41,2026-03-02,S00524,App,成功
REG00000043,M0000043,注册,2025-08-15 11:42:57,2025-08-15,S00736,App,成功
REG00000044,M0000044,注册,2026-05-20 10:21:04,2026-05-20,S00046,门店扫码,成功
REG00000045,M0000045,注册,2024-06-07 09:16:52,2024-06-07,S00121,门店扫码,成功
REG00000046,M0000046,注册,2025-12-26 12:33:17,2025-12-26,S00246,门店扫码,成功
REG00000047,M0000047,注册,2024-02-29 10:46:59,2024-02-29,S00717,小程序,成功
REG00000048,M0000048,注册,2025-10-24 01:18:49,2025-10-24,S00661,小程序,成功
REG00000049,M0000049,注册,2025-06-07 03:32:49,2025-06-07,S00352,小程序,成功
REG00000050,M0000050,注册,2026-05-20 16:52:58,2026-05-20,S00716,小程序,成功
REG00000051,M0000051,注册,2024-07-16 17:43:26,2024-07-16,S00555,小程序,成功
REG00000052,M0000052,注册,2026-04-05 12:58:33,2026-04-05,S01037,企微邀请,成功
REG00000053,M0000053,注册,2025-05-31 18:57:42,2025-05-31,S00319,门店扫码,成功
REG00000054,M0000054,注册,2026-01-19 15:52:53,2026-01-19,S00600,门店扫码,成功
REG00000055,M0000055,注册,2024-05-07 08:36:41,2024-05-07,S01020,小程序,成功
REG00000056,M0000056,注册,2024-09-08 02:20:28,2024-09-08,S00521,App,成功
REG00000057,M0000057,注册,2024-12-19 22:49:48,2024-12-19,S00548,门店扫码,成功
REG00000058,M0000058,注册,2026-05-18 18:44:40,2026-05-18,S00867,门店扫码,成功
REG00000059,M0000059,注册,2025-02-05 20:35:17,2025-02-05,S00416,App,成功
REG00000060,M0000060,注册,2024-09-07 13:53:22,2024-09-07,S00883,小程序,成功
REG00000061,M0000061,注册,2026-04-13 02:18:46,2026-04-13,S00302,App,成功
REG00000062,M0000062,注册,2024-10-01 08:22:58,2024-10-01,S00456,小程序,成功
REG00000063,M0000063,注册,2025-12-08 07:17:47,2025-12-08,S00763,App,成功
REG00000064,M0000064,注册,2024-11-20 19:51:36,2024-11-20,S00193,App,成功
REG00000065,M0000065,注册,2025-12-16 14:18:05,2025-12-16,S00305,小程序,成功
REG00000066,M0000066,注册,2025-04-19 13:57:07,2025-04-19,S01168,App,成功
REG00000067,M0000067,注册,2026-02-13 01:37:38,2026-02-13,S00519,App,成功
REG00000068,M0000068,注册,2025-11-05 00:08:19,2025-11-05,S00025,小程序,成功
REG00000069,M0000069,注册,2026-03-10 17:49:49,2026-03-10,S00849,企微邀请,成功
REG00000070,M0000070,注册,2026-03-21 12:14:38,2026-03-21,S00980,企微邀请,成功
REG00000071,M0000071,注册,2025-05-07 17:47:49,2025-05-07,S00740,门店扫码,成功
REG00000072,M0000072,注册,2024-07-19 05:34:03,2024-07-19,S00718,小程序,成功
REG00000073,M0000073,注册,2025-12-14 08:08:13,2025-12-14,S00405,小程序,成功
REG00000074,M0000074,注册,2026-03-25 08:30:36,2026-03-25,S00671,小程序,成功
REG00000075,M0000075,注册,2026-04-07 16:11:01,2026-04-07,S00852,App,成功
REG00000076,M0000076,注册,2024-03-10 19:37:03,2024-03-10,S00042,App,成功
REG00000077,M0000077,注册,2025-09-20 08:52:20,2025-09-20,S00945,小程序,成功
REG00000078,M0000078,注册,2026-05-19 06:00:14,2026-05-19,S00144,App,成功
REG00000079,M0000079,注册,2024-08-21 07:39:14,2024-08-21,S00579,小程序,成功
REG00000080,M0000080,注册,2025-02-26 14:05:52,2025-02-26,S00327,门店扫码,成功
REG00000081,M0000081,注册,2024-05-26 15:03:07,2024-05-26,S00009,门店扫码,成功
REG00000082,M0000082,注册,2025-03-15 20:22:56,2025-03-15,S00610,App,成功
REG00000083,M0000083,注册,2024-12-13 14:17:58,2024-12-13,S00513,门店扫码,成功
REG00000084,M0000084,注册,2025-06-24 16:37:11,2025-06-24,S00402,App,成功
REG00000085,M0000085,注册,2025-02-13 19:08:46,2025-02-13,S00728,小程序,成功
REG00000086,M0000086,注册,2025-10-30 22:06:05,2025-10-30,S01141,App,成功
REG00000087,M0000087,注册,2025-08-10 00:01:08,2025-08-10,S00267,小程序,成功
REG00000088,M0000088,注册,2025-03-27 08:52:25,2025-03-27,S00071,App,成功
REG00000089,M0000089,注册,2025-11-14 15:21:40,2025-11-14,S01039,小程序,成功
REG00000090,M0000090,注册,2025-07-23 11:43:18,2025-07-23,S00729,门店扫码,成功
REG00000091,M0000091,注册,2024-07-10 16:29:58,2024-07-10,S00826,门店扫码,成功
REG00000092,M0000092,注册,2024-08-16 18:38:37,2024-08-16,S00128,小程序,成功
REG00000093,M0000093,注册,2026-05-06 23:09:43,2026-05-06,S01024,App,成功
REG00000094,M0000094,注册,2024-06-21 21:28:18,2024-06-21,S00630,小程序,成功
REG00000095,M0000095,注册,2025-09-17 04:55:14,2025-09-17,S00089,小程序,成功
REG00000096,M0000096,注册,2025-10-15 10:07:53,2025-10-15,S00981,App,成功
REG00000097,M0000097,注册,2026-03-03 17:34:57,2026-03-03,S01025,小程序,成功
REG00000098,M0000098,注册,2025-02-18 23:47:24,2025-02-18,S01018,App,成功
REG00000099,M0000099,注册,2026-03-19 09:19:19,2026-03-19,S00480,App,成功
REG00000100,M0000100,注册,2024-08-02 16:17:34,2024-08-02,S00356,活动拉新,成功
REG00000101,M0000101,注册,2025-12-15 00:01:52,2025-12-15,S00342,小程序,成功
REG00000102,M0000102,注册,2025-05-24 16:26:37,2025-05-24,S00212,App,成功
REG00000103,M0000103,注册,2025-07-05 03:10:59,2025-07-05,S00227,小程序,成功
REG00000104,M0000104,注册,2024-12-07 12:24:23,2024-12-07,S00275,门店扫码,成功
REG00000105,M0000105,注册,2026-01-12 16:26:34,2026-01-12,S00609,小程序,成功
REG00000106,M0000106,注册,2024-03-13 01:29:26,2024-03-13,S01030,小程序,成功
REG00000107,M0000107,注册,2024-09-12 07:28:13,2024-09-12,S00591,门店扫码,成功
REG00000108,M0000108,注册,2024-05-01 01:39:56,2024-05-01,S00154,App,成功
REG00000109,M0000109,注册,2026-02-27 18:37:08,2026-02-27,S00358,门店扫码,成功
REG00000110,M0000110,注册,2025-02-22 23:23:21,2025-02-22,S00732,小程序,成功
REG00000111,M0000111,注册,2026-05-03 21:04:33,2026-05-03,S01013,App,成功
REG00000112,M0000112,注册,2024-11-22 17:56:03,2024-11-22,S00246,App,成功
REG00000113,M0000113,注册,2024-11-23 12:42:59,2024-11-23,S00081,小程序,成功
REG00000114,M0000114,注册,2024-04-14 09:39:58,2024-04-14,S00266,小程序,成功
REG00000115,M0000115,注册,2024-03-30 02:28:44,2024-03-30,S00514,小程序,成功
REG00000116,M0000116,注册,2025-02-15 01:41:50,2025-02-15,S00508,活动拉新,成功
REG00000117,M0000117,注册,2026-03-06 19:11:23,2026-03-06,S00966,App,成功
REG00000118,M0000118,注册,2026-05-08 19:31:44,2026-05-08,S00673,小程序,成功
REG00000119,M0000119,注册,2025-01-10 01:03:32,2025-01-10,S00882,小程序,成功
REG00000120,M0000120,注册,2025-08-13 06:01:26,2025-08-13,S00832,小程序,成功
REG00000121,M0000121,注册,2024-07-20 17:38:43,2024-07-20,S00266,小程序,成功
REG00000122,M0000122,注册,2025-03-28 01:55:30,2025-03-28,S01083,App,成功
REG00000123,M0000123,注册,2024-03-24 16:19:25,2024-03-24,S00199,App,成功
REG00000124,M0000124,注册,2026-03-24 00:46:01,2026-03-24,S00013,小程序,成功
REG00000125,M0000125,注册,2026-04-17 08:35:42,2026-04-17,S00058,App,成功
REG00000126,M0000126,注册,2026-04-28 01:01:11,2026-04-28,S00310,活动拉新,成功
REG00000127,M0000127,注册,2026-04-05 19:01:21,2026-04-05,S00873,App,成功
REG00000128,M0000128,注册,2025-12-19 12:00:52,2025-12-19,S00092,App,成功
REG00000129,M0000129,注册,2025-06-30 04:08:45,2025-06-30,S00115,门店扫码,成功
REG00000130,M0000130,注册,2025-10-30 10:55:14,2025-10-30,S00560,App,成功
REG00000131,M0000131,注册,2024-09-15 04:49:47,2024-09-15,S00662,小程序,成功
REG00000132,M0000132,注册,2026-02-21 08:24:31,2026-02-21,S00365,App,成功
REG00000133,M0000133,注册,2026-02-25 08:59:26,2026-02-25,S00300,小程序,成功
REG00000134,M0000134,注册,2025-03-30 06:34:04,2025-03-30,S00157,门店扫码,成功
REG00000135,M0000135,注册,2025-07-26 05:45:36,2025-07-26,S00556,App,成功
REG00000136,M0000136,注册,2025-06-13 05:26:05,2025-06-13,S00865,App,成功
REG00000137,M0000137,注册,2026-05-10 19:04:15,2026-05-10,S00549,活动拉新,成功
REG00000138,M0000138,注册,2025-01-18 11:02:32,2025-01-18,S00228,小程序,成功
REG00000139,M0000139,注册,2026-04-19 15:26:08,2026-04-19,S00077,门店扫码,成功
REG00000140,M0000140,注册,2026-01-28 05:05:33,2026-01-28,S00423,App,成功
REG00000141,M0000141,注册,2024-08-27 05:37:36,2024-08-27,S00031,门店扫码,成功
REG00000142,M0000142,注册,2025-12-10 15:52:25,2025-12-10,S00856,App,成功
REG00000143,M0000143,注册,2024-08-09 02:47:50,2024-08-09,S00858,小程序,成功
REG00000144,M0000144,注册,2026-03-23 12:11:39,2026-03-23,S00079,门店扫码,成功
REG00000145,M0000145,注册,2026-05-02 01:54:26,2026-05-02,S00066,小程序,成功
REG00000146,M0000146,注册,2026-01-14 13:47:25,2026-01-14,S00425,小程序,成功
REG00000147,M0000147,注册,2024-09-16 22:51:34,2024-09-16,S00608,企微邀请,成功
REG00000148,M0000148,注册,2025-10-28 18:16:49,2025-10-28,S00733,小程序,成功
REG00000149,M0000149,注册,2024-07-07 00:00:06,2024-07-07,S01028,门店扫码,成功
REG00000150,M0000150,注册,2024-04-02 23:20:55,2024-04-02,S00970,企微邀请,成功
REG00000151,M0000151,注册,2026-02-07 05:43:08,2026-02-07,S00295,App,成功
REG00000152,M0000152,注册,2025-03-19 16:00:10,2025-03-19,S00380,门店扫码,成功
REG00000153,M0000153,注册,2024-06-24 13:03:45,2024-06-24,S00630,小程序,成功
REG00000154,M0000154,注册,2026-03-25 18:28:43,2026-03-25,S00487,小程序,成功
REG00000155,M0000155,注册,2026-05-14 07:15:31,2026-05-14,S00209,小程序,成功
REG00000156,M0000156,注册,2026-01-29 16:34:11,2026-01-29,S00574,小程序,成功
REG00000157,M0000157,注册,2024-05-30 05:54:30,2024-05-30,S00024,App,成功
REG00000158,M0000158,注册,2024-02-23 05:16:27,2024-02-23,S00580,App,成功
REG00000159,M0000159,注册,2025-01-13 20:30:01,2025-01-13,S00546,App,成功
REG00000160,M0000160,注册,2024-09-01 07:33:31,2024-09-01,S00005,企微邀请,成功
REG00000161,M0000161,注册,2025-11-09 05:05:27,2025-11-09,S00563,小程序,成功
REG00000162,M0000162,注册,2024-05-28 20:50:18,2024-05-28,S00507,门店扫码,成功
REG00000163,M0000163,注册,2024-02-24 03:11:44,2024-02-24,S00698,App,成功
REG00000164,M0000164,注册,2025-06-17 17:16:18,2025-06-17,S00473,小程序,成功
REG00000165,M0000165,注册,2026-01-03 03:33:27,2026-01-03,S00665,小程序,成功
REG00000166,M0000166,注册,2026-02-17 04:35:18,2026-02-17,S00310,小程序,成功
REG00000167,M0000167,注册,2025-01-12 06:58:36,2025-01-12,S00894,App,成功
REG00000168,M0000168,注册,2024-06-19 07:50:40,2024-06-19,S00772,小程序,成功
REG00000169,M0000169,注册,2024-06-20 18:00:53,2024-06-20,S00769,小程序,成功
REG00000170,M0000170,注册,2025-11-14 13:39:14,2025-11-14,S01000,App,成功
REG00000171,M0000171,注册,2026-04-12 04:14:45,2026-04-12,S00041,App,成功
REG00000172,M0000172,注册,2026-04-22 05:21:18,2026-04-22,S01123,小程序,成功
REG00000173,M0000173,注册,2026-01-22 14:38:36,2026-01-22,S00400,门店扫码,成功
REG00000174,M0000174,注册,2026-05-03 06:04:55,2026-05-03,S00572,小程序,成功
REG00000175,M0000175,注册,2025-12-28 02:13:38,2025-12-28,S00067,小程序,成功
REG00000176,M0000176,注册,2024-06-04 07:05:48,2024-06-04,S00879,企微邀请,成功
REG00000177,M0000177,注册,2024-06-03 23:30:59,2024-06-03,S00125,门店扫码,成功
REG00000178,M0000178,注册,2026-05-06 18:58:16,2026-05-06,S00645,小程序,成功
REG00000179,M0000179,注册,2024-02-26 10:33:08,2024-02-26,S00865,App,成功
REG00000180,M0000180,注册,2025-01-31 13:57:01,2025-01-31,S00268,企微邀请,成功
REG00000181,M0000181,注册,2026-05-07 13:04:13,2026-05-07,S01023,小程序,成功
REG00000182,M0000182,注册,2026-01-25 05:28:48,2026-01-25,S01026,小程序,成功
REG00000183,M0000183,注册,2026-03-19 17:24:37,2026-03-19,S00156,App,成功
REG00000184,M0000184,注册,2025-04-26 00:08:30,2025-04-26,S00405,小程序,成功
REG00000185,M0000185,注册,2026-02-22 21:16:48,2026-02-22,S00730,小程序,成功
REG00000186,M0000186,注册,2024-10-25 07:22:33,2024-10-25,S01083,小程序,成功
REG00000187,M0000187,注册,2024-07-14 00:25:26,2024-07-14,S00493,活动拉新,成功
REG00000188,M0000188,注册,2024-12-05 18:42:21,2024-12-05,S00634,小程序,成功
REG00000189,M0000189,注册,2025-05-24 22:35:34,2025-05-24,S00091,活动拉新,成功
REG00000190,M0000190,注册,2024-06-20 13:25:43,2024-06-20,S01012,小程序,成功
REG00000191,M0000191,注册,2026-02-25 23:48:30,2026-02-25,S01188,App,成功
REG00000192,M0000192,注册,2024-04-07 19:30:48,2024-04-07,S00843,App,成功
REG00000193,M0000193,注册,2026-01-07 18:42:40,2026-01-07,S00970,小程序,成功
REG00000194,M0000194,注册,2025-02-02 03:23:10,2025-02-02,S00572,小程序,成功
REG00000195,M0000195,注册,2026-04-02 17:03:23,2026-04-02,S01072,企微邀请,成功
REG00000196,M0000196,注册,2025-05-20 16:59:35,2025-05-20,S00095,小程序,成功
REG00000197,M0000197,注册,2024-11-14 02:04:50,2024-11-14,S00390,App,成功
REG00000198,M0000198,注册,2026-04-30 14:44:55,2026-04-30,S00348,门店扫码,成功
REG00000199,M0000199,注册,2025-08-01 04:03:29,2025-08-01,S00960,门店扫码,成功
REG00000200,M0000200,注册,2024-05-01 15:35:25,2024-05-01,S00581,小程序,成功
